index,Mean,Median,Mode,Variance,Skew,Kurtosis
Mill TPH,166.4605567645992,168.09,139.76000000000005,97.9773332107252,-0.66496233309325,0.04039930181434581
Clinker TPH,96.93173104824083,98.21,80.19500000000002,36.810374596797374,-0.6328865807761994,0.13448240675663703
Gypsum TPH,4.964914762422923,5.22,3.5699999999999994,0.4311188118879613,-1.1181306633221058,0.019519579816380084
DFA TPH,57.149165759883935,58.14,44.48499999999999,23.517761039814264,-1.0686536365405508,0.7823612619233962
WFA TPH,7.574419659049693,8.405000000000001,14.329999999999998,4.58420544039699,0.11917618764372141,1.1135189287919363
Mill KW,3672.237060210374,3649.43,3768.22,10024.280666215504,0.38829237228822744,-0.7912242211210927
Mill I/L Temp,33.13214272760247,32.575,41.864999999999995,14.887830738014374,0.7265031517437199,-0.15368972689410532
Mill O/L Temp,92.1693289807762,91.83500000000001,106.04999999999998,29.10742915240847,0.06237382891914559,0.06572984126714498
Mill O/L BE Amp,50.37780195865071,49.82,44.5,33.96386812257189,0.3989339649407703,-0.21460472025417188
Mill Vent Fan RPM,828.0885690968444,814.97,899.94,3666.139305751891,-0.0016476812500824522,-1.4665937254642727
Mill Vent Fan KW,46.270132390279294,44.62,43.3,24.794357555478904,0.4090287766028593,-0.1138598171084566
Mill Vent BF I/L Draft,83.38739118607182,83.11,65.09500000000001,75.2674921725389,-0.0020539142917533593,0.13202554424797164
Mill Vent BF O/L Draft,187.80519949220167,184.055,133.385,337.79461361881965,0.17499118045481366,0.18798838090551762
Reject,120.0150961189699,119.54,218.51000000000005,1422.405327734274,0.1834092024616904,-0.02306496538077818
Sep RPM,949.4308088501996,952.52,999.1999999999999,514.6745503704985,-0.25876311355660464,0.040113730472011166
Sep KW,53.353284367065655,54.94,58.36,178.52876692728373,0.041751647227329526,-0.569500787093546
Sep Amp,142.22973793978963,141.85,171.13499999999996,98.6613609280473,0.4451892187270261,-0.2013896133380415
CA Fan RPM,904.9475933986216,905.29,884.9900000000002,85.70250574358657,0.1913364593789084,-0.015019799812096668
CA Fan KW,328.88415306492567,327.945,323.63,105.06508349261972,-0.13216599964354458,3.1230402851526704
Mill Folaphone,97.42066920565834,96.8,96.69,6.005591335140766,2.295597937568232,6.397824145070466
Mill O/L Draft,87.80412223431266,87.3,78.5,21.859526247345634,-0.0038318867008262595,-0.032240174989572434
Sep. Vent I/L Draft,135.86161225970255,134.3,132.5,15.924318840379398,0.9834939466872439,0.2522739556754452
Sep. Vent O/L Draft,214.70890279289085,212.8,212.3,35.12574721783011,-0.1638120961766485,0.5072716468999059
Sep.Vent bag filter fan kw,17.683657961552413,15.05,29.779999999999998,21.584984385799814,1.2793828107507508,0.5451276243965442
Sep.Vent bag filter fan rpm,756.7437495466087,750.0,750.0,133.6790924638359,0.9903679321144065,0.15043257006556443
"Residue
(45µ)",15.185723612622416,15.2,14.8,1.5225244626855932,0.12034123346137218,-0.2424467877988361
