Raw Material,Mean,Median,Mode,Variance,Skew,Kurtosis
Mill TPH,0.765293822,0.790343915,0.822751323,0.018134444,-1.988168886,6.515150327
Clinker TPH,0.496344337,0.534252669,0,0.032373906,-0.632886581,0.134482407
Gypsum TPH,0.551349708,0.652173913,0,0.067352843,-1.118130663,0.01951958
DFA TPH,0.602911962,0.650083313,0,0.053302871,-1.068653637,0.782361262
WFA TPH,0.528570807,0.586531752,1,0.022323983,0.119176188,1.113518929
Mill KW,0.584749944,0.545004618,0.752017148,0.030442949,0.388292372,-0.791224221
Mill I/L Temp,0.534495881,0.504797441,1,0.042302473,0.726503152,-0.153689727
Mill O/L Temp,0.486661575,0.474297337,1,0.039809844,0.062373829,0.065729841
Mill O/L BE Amp,0.461566676,0.443659711,0.272873194,0.03500266,0.398933965,-0.21460472
Mill Vent Fan RPM,0.645663222,0.600055625,0.895459602,0.044310883,-0.001647681,-1.466593725
Mill Vent Fan KW,0.742006774,0.718634241,0.697374779,0.009463273,-2.196592687,17.45798554
Mill Vent BF I/L Draft,0.487811039,0.454195052,0,0.027141616,0.17499118,0.187988381
Mill Vent BF O/L Draft,0.487811039,0.454195052,0,0.027141616,0.17499118,0.187988381
Reject,0.503754011,0.501360339,1,0.036106872,0.183409202,-0.023064965
Sep RPM,0.492565343,0.52406199,1,0.053502217,-0.258763114,0.04011373
Sep KW,0.506912309,0.526916288,0.570032779,0.028375452,0.041751647,-0.569500787
Sep Amp,0.433396804,0.425953151,1,0.037909785,0.445189219,-0.201389613
CA Fan RPM,0.488199447,0.496575342,0,0.051282802,0.191336459,-0.0150198
CA Fan KW,385.28,385.28,385.28,4.57E-22,0,0
Mill Folaphone,0.502444192,0.462662338,1,0.084817635,0.215403661,-0.465435476
Mill O/L Draft,0.833075622,0.837100494,0.838418451,0.00384454,-4.619647081,36.74378464
Sep. Vent I/L Draft,0.500547748,0.426886792,0.341981132,0.035431468,0.983493947,0.252273956
Sep. Vent O/L Draft,0.487036562,0.421674371,0.404554015,0.041182352,-0.163812096,0.507271647
Sep.Vent bag filter fan kw,0.509077028,0.402191558,1,0.035552515,1.279382811,0.545127624
Sep.Vent bag filter fan rpm,0.5007224,0.375,0.375,0.046460722,0.990367932,0.15043257
"Residue
(45µ)",15.18572361,15.2,14.8,1.522524463,0.120341233,-0.242446788
