index,Mean,Median,Mode,Variance,Skew,Kurtosis
Mill TPH,165.817455567646,168.09,171.03,149.24862256514007,-1.9881688861896802,6.515150326720477
Clinker TPH,96.28990206746464,98.21,100.69,74.77674288901075,-2.8393348503260074,11.711663694577949
Gypsum TPH,4.941713819368879,5.22,4.83,0.5039927633605932,-1.2795579693909345,0.540253044360683
DFA TPH,56.575986579615524,58.14,43.75,48.00337915527049,-2.7441939437823404,9.686403655496532
WFA TPH,8.02000725426188,8.405000000000001,7.54,18.705938363814507,4.481133215727724,24.22670582355296
Mill KW,3670.033520130577,3649.43,3768.22,18198.43164965978,-11.149863125751539,281.9350755770099
Mill I/L Temp,33.24973340587596,32.575,34.2,17.45069329006102,1.0644400640742924,1.0716905172886846
Mill O/L Temp,92.18061479869424,91.83500000000001,80.21,29.811477673831472,0.10350839191034127,0.29989750125116243
Mill O/L BE Amp,50.387985128763155,49.82,44.5,34.337400710099935,0.4386750317048683,-0.060128229522406595
Mill Vent Fan RPM,828.0885690968444,814.97,899.94,3666.139305751891,-0.0016476812500824522,-1.4665937254642727
Mill Vent Fan KW,46.07120058034095,44.62,43.3,36.48250956868444,-2.1965926867251593,17.45798554146253
Mill Vent BF I/L Draft,82.950270221255,83.11,85.99,134.75621681432443,-0.9058551274345432,4.484243588428045
Mill Vent BF O/L Draft,188.22626586869785,184.055,179.33,458.2067238190163,2.0101808886935486,15.467231661853663
Reject,120.17099746100834,119.54,137.44,1458.6200193205166,0.2636964467711223,0.23107779174660426
Sep RPM,952.0678618063112,952.52,957.83,1004.7716713025005,1.862240593465238,7.666696573128499
Sep KW,53.363503808487486,54.94,58.36,180.13045813648077,0.06814390501008939,-0.38525473883230266
Sep Amp,142.30408777656874,141.85,133.96,104.1028448506288,0.6842169001874533,1.0609365982797256
CA Fan RPM,903.7887268770401,905.29,900.45,203.04033601717418,-2.310710778397212,12.698441295078506
CA Fan KW,328.88415306492567,327.945,323.63,105.06508349261972,-0.13216599964354458,3.1230402851526704
Mill Folaphone,97.42066920565834,96.8,96.69,6.005591335140766,2.295597937568232,6.397824145070466
Mill I/L Draft,23.593066739209284,22.3,20.3,26.43938810836932,1.1010136981739747,1.8059558396879392
Mill O/L Draft,86.68922560754443,87.3,87.5,88.53229936392971,-4.619647081079218,36.74378464386307
Sep. Vent I/L Draft,136.30882662314107,134.3,132.5,524.7549374040032,49.94627942554489,2577.405956196322
Sep. Vent O/L Draft,209.5683387740297,212.8,212.3,1040.4965209111497,-5.373249447782657,27.959331534820418
Sep.Vent bag filter fan kw,17.774548422198038,15.05,14.25,24.294146077556924,1.4685046825972154,1.5560869853159462
Sep.Vent bag filter fan rpm,758.4422687704027,750.0,750.0,389.8858701102288,3.9761509172449845,25.34271684291041
"Residue
(45µ)",15.185723612622416,15.2,14.8,1.5225244626855932,0.12034123346137218,-0.2424467877988361
